store_id,store_name,location,demographics
139,"Leblanc, Hicks and Preston",214 John Plaza Suite 323,DEMOGRAPHICS_ERROR
140,Jennings and Sons,5315 Peter Locks,"(-46.678578,57.843036)"
141,Ward PLC,15039 Michael Bridge,"(-0.2902195,108.701542)"
142,"Holmes, Richards and Lucas",202 Mcgrath Causeway Apt. 721,"(-40.599049,143.941118)"
143,STORE_ERROR,62358 Anderson Rue,"(-14.1607215,9.199663)"
144,Moore-Guzman,None,"(-85.926003,156.900811)"
145,None,596 Tucker Village Suite 561,DEMOGRAPHICS_ERROR
146,Walker-Watson,91848 Garcia Squares Apt. 731,None
147,None,655 Wells Rapid Apt. 295,"(15.006201,-120.811508)"
148,,420 Taylor Passage,"(-86.2576185,-53.911707)"
149,None,61432 Anna Parkways,"(7.8010695,42.952205)"
150,Hart-Stevens,832 George Island Apt. 532,"(-83.3334705,-153.059045)"
151,"Park, Rogers and Andersen",52543 Brian Ford,"(11.331219,34.719567)"
152,West Group,26051 Werner Street,None
153,Thompson-Moore,7973 Joseph Flat Suite 358,
154,Foster Inc,915 Emily Drive,DEMOGRAPHICS_ERROR
155,"Koch, Gibson and Hinton",6842 Holmes Mountain,"(70.443202,121.240448)"
156,"Jackson, Adkins and Martinez",85695 Winters Field,"(-89.861420,6.732845)"
157,"Conley, Washington and Fields",0869 Brown Road Apt. 080,"(83.024254,20.816708)"
158,"Jennings, James and Scott",1211 Amy Squares,"(-16.7751555,32.965758)"
159,Ewing-Davis,None,"(60.2204905,31.053067)"
160,None,5100 Ashley Stravenue Suite 433,"(69.3119455,-15.638983)"
161,"Conley, Kramer and Boyle",9645 Moran Row Apt. 330,"(-40.340525,-36.119267)"
162,"Rodriguez, Huff and Terrell",884 Robert Village Apt. 271,"(-52.363514,-83.878086)"
163,Stewart-Jones,8967 April Summit,"(-65.3815175,157.922816)"
164,Tyler Ltd,3140 Benjamin Mountain Apt. 765,"(36.182695,-76.040275)"
165,"Levy, Flores and Cabrera",119 Gonzalez Point,"(46.554492,-99.675788)"
166,None,80266 Gregory Garden,None
167,"Evans, Williams and Murillo",982 Michael Lake Suite 815,"(55.2069025,-47.139780)"
168,None,03178 Kelly Tunnel,"(87.798899,142.085895)"
169,Pitts-Williams,None,"(68.0240195,-143.365178)"
170,Gonzalez-Adkins,172 Lindsey Vista Apt. 464,"(83.4549555,-116.387593)"
171,Johnson PLC,8806 Donovan Ferry Apt. 206,"(79.5141555,146.107299)"
172,Mcbride PLC,83009 Claudia Roads,"(48.9909855,-138.305312)"
173,Murphy Group,9953 Robert Station,"(-60.119016,140.544698)"
174,"Richardson, Bradley and Jensen",684 Melissa Square Apt. 924,"(-34.2371635,-16.978694)"
175,King-Martinez,6272 Wright Harbors,"(-60.6807365,-51.397391)"
176,Zuniga-West,826 Rivera Lights,"(86.9417675,-40.507391)"
177,Ruiz and Sons,02006 Theodore Green,"(-66.187131,-160.725636)"
178,Reese-Cunningham,0659 Patrick Hollow Suite 942,"(-66.1837645,-34.327901)"
179,"White, Miller and Smith",54584 Mary Station Suite 347,"(56.9428015,-166.173774)"
180,Martinez-Cox,132 Mcgrath Run,DEMOGRAPHICS_ERROR
181,"Rios, Boyd and Blair",67011 Amanda Squares,"(-67.0750855,3.201779)"
182,"Day, Anderson and Santos",932 Hernandez Mall Suite 298,
183,"Baldwin, Warner and Gardner",59225 Hartman Rest,"(27.322579,-19.408822)"
184,"Brown, Welch and Stone",2478 Rebecca Trail Apt. 388,"(-85.4869695,79.111865)"
185,"Thomas, Hall and Harrison",04344 Perry Ville,None
186,"Maynard, Shelton and Ray",217 Anderson Bypass Suite 678,"(8.219265,-88.910885)"
187,None,134 Williams Divide Suite 113,
188,Knight-Roberts,93337 Melinda Groves,"(-27.845745,-158.420380)"
189,None,87595 Erickson Streets Suite 661,
190,Santiago Group,65535 Allen Lock Apt. 382,"(-43.8929195,-99.987813)"
191,Page-Bradford,834 Byrd Trail,"(-29.3492885,131.336451)"
192,Carpenter Group,581 Carter Field,"(-87.685506,101.084813)"
193,"Young, Brown and Clayton",1707 Palmer Pass,"(27.701274,147.692440)"
194,Reynolds Ltd,064 Rice View Suite 211,"(59.570855,-60.302328)"
195,Palmer PLC,63253 Sawyer Walks Apt. 109,"(26.3769265,28.327692)"
196,Fields-White,8040 Bentley Gateway Apt. 903,"(-64.6632925,177.203267)"
197,"Taylor, Robles and Rivera",35171 Nelson Port Apt. 591,"(49.6550595,109.940212)"
198,Stone-Morgan,335 Patrick Spur Suite 908,"(55.280670,-157.792920)"
199,"Taylor, Olson and Johnson",21918 Cooper Mews Apt. 638,"(70.5338515,-48.992412)"
200,Willis and Sons,524 Jason Fords,"(44.0214155,-97.099119)"
201,Ward and Sons,2008 Baker Haven Suite 329,"(27.6758515,162.705648)"
202,"Harris, Walker and Harris",1405 Arthur Ridge Apt. 884,"(-80.2906185,86.806930)"
203,"Lee, Lopez and Brown",682 Sharp Bridge,"(12.3769455,162.812291)"
204,Long-Martin,26043 Michelle Pines,"(49.728171,29.210273)"
205,Browning LLC,53374 Nicholas Flat,DEMOGRAPHICS_ERROR
206,"Zamora, Gray and Saunders",4940 Noah Ramp Suite 160,"(-56.4692245,-123.827555)"
207,Gordon Group,7184 Sandoval Neck Apt. 993,"(46.652648,-97.495878)"
208,Sanders Group,83091 Christopher Trail Suite 655,"(-31.583778,-136.378468)"
209,Quinn-Frederick,309 Harrison Pine,"(15.8048935,123.062467)"
210,Johnson Inc,45359 Berry Lodge Suite 593,"(-29.682497,60.527148)"
211,Escobar-Freeman,8566 Anthony Tunnel Suite 842,"(68.9759555,29.937834)"
212,"Vazquez, Clark and Hernandez",30280 Tanya Vista Apt. 856,"(-42.6170185,-70.546452)"
213,Hardin LLC,4344 Gabriela Lake,"(-18.049472,119.621544)"
214,Krueger-Johnson,1950 Hurst Landing,"(20.5971515,137.452523)"
215,None,LOCATION_ERROR,None
216,Francis-Silva,,"(-19.625582,-148.312005)"
217,Garcia-James,359 Benitez Curve,"(55.5266185,-25.642866)"
218,Parker-Morris,66754 Stacey Heights,"(34.858949,-110.081623)"
219,Ayala Inc,None,"(-63.861901,-124.824205)"
220,"Barnes, Bird and Burns",62405 Taylor Land,"(58.6096995,-137.221488)"
221,"Jennings, Olsen and Smith",278 Michael Road Suite 669,None
222,STORE_ERROR,588 Crosby Island Apt. 296,"(-46.727192,-94.634126)"
223,Sloan PLC,075 Jonathan Row Suite 353,"(-78.9685345,100.252899)"
224,Mathis LLC,17369 Tammy Canyon Apt. 333,"(78.970654,-32.322235)"
225,Terry and Sons,09901 Brandy Street Apt. 155,"(-69.0073925,-121.376531)"
226,STORE_ERROR,155 Melissa Flat,"(-52.160513,-111.335587)"
227,Delacruz Ltd,58448 Amy Harbor,"(5.1306055,82.084288)"
228,Williams-Dawson,03227 Christy Rest Apt. 054,"(-59.259849,-88.665329)"
229,Smith-Grimes,107 Brittany Rapids,"(-85.1379855,100.937304)"
230,Flores Ltd,0199 Brown Branch Apt. 327,"(-52.889068,-110.022783)"
231,Rhodes Group,LOCATION_ERROR,None
232,Mcgee-Rivera,6878 Jeffrey Station Suite 077,"(-70.896552,-89.356973)"
233,Chang and Sons,5675 Melissa Fall Suite 515,"(88.2851535,-28.269351)"
234,Gamble Group,259 Jason Squares Apt. 810,"(-76.8057425,-42.689813)"
235,Ramos Group,6099 Steve Mission,"(-21.280832,-52.941281)"
236,Goodman-Wells,LOCATION_ERROR,"(70.3797595,-39.513420)"
237,"Cline, Stephens and Taylor",237 Mcgee Tunnel,"(36.0749865,33.665672)"
238,"Montes, Daniels and Hamilton",622 Jaime Roads,"(-58.281984,-20.107056)"
239,White-Mckee,972 Melinda Park,"(-54.8651275,-41.592293)"
240,STORE_ERROR,9677 Armstrong Cape,"(1.5153825,130.292375)"
241,Hall and Sons,083 Ryan Underpass,"(-55.873985,-143.352642)"
242,"Greer, Wong and Mcclure",LOCATION_ERROR,"(-48.7615895,-127.347985)"
243,Tucker LLC,LOCATION_ERROR,"(11.4114025,-149.438675)"
244,"Mercer, Sanchez and Hale",06889 Angela Greens,"(89.524952,-156.817480)"
245,Young Ltd,None,"(-68.3720765,36.926859)"
246,Kaiser-Steele,49147 Grant Isle,
247,Owens-Roberts,None,"(40.857119,-154.834554)"
248,Olsen Group,None,"(73.362214,171.781334)"
249,"Berry, Becker and Sanchez",32106 Mary Neck,"(34.8458595,-118.051899)"
250,Davis-Webb,887 Martin Courts,"(42.436648,-58.269267)"
251,Hartman-Morrison,65615 Kendra Ways,None
252,STORE_ERROR,LOCATION_ERROR,"(-74.715900,-71.061999)"
253,"Chapman, Morris and Tucker",45945 William Forest Apt. 204,"(-67.677043,-139.295242)"
254,None,None,"(58.0649735,-124.692309)"
255,None,872 Edward Mountains,"(-66.8782785,3.208329)"
256,Graves-Gonzales,4296 Franklin Bypass,None
257,Scott LLC,381 Gary Crossing Apt. 975,"(64.907831,-159.369210)"
258,Patterson Inc,6935 Sarah Unions Apt. 282,DEMOGRAPHICS_ERROR
259,Adams-Gonzalez,7325 Jeremy Cliff Suite 984,None
260,"Reese, Mcdaniel and Stanley",0031 Patterson Causeway Apt. 403,"(51.2655805,-60.114615)"
261,Frank-Odom,075 Robin Oval Suite 943,"(-32.017293,-154.295931)"
262,"Snyder, Williams and Peterson",LOCATION_ERROR,"(-17.1214585,23.690909)"
263,Davis Group,LOCATION_ERROR,"(61.8843985,87.499191)"
264,Hawkins Group,26592 Wilson Stream,
265,Bradley Ltd,9570 Hess Haven,"(35.6773675,-79.756512)"
266,Jimenez-Farmer,667 Tammy Branch Apt. 531,"(42.0061815,1.929677)"
267,Williams and Sons,531 Brian Flats Apt. 665,"(42.2795555,146.245355)"
268,Henry-Hall,9506 Kayla Drives,"(83.9983465,113.951145)"
269,"Caldwell, Bean and Bates",666 Galvan Curve Apt. 931,"(-50.7412205,171.554598)"
270,Cooper Inc,8965 Duncan Shoal,"(80.3869665,24.700259)"
271,Randall PLC,9765 Roman View Apt. 741,"(77.0376595,-7.836927)"
272,Jones Group,436 Karen Fort,"(-17.651436,-54.153307)"
273,Martin-Price,764 Barker Lane,None
274,"Kelly, Randall and Hall",407 Boyd Green Suite 077,"(-48.9168665,150.839173)"
275,"Rivas, Alexander and Cervantes",None,"(-53.568441,-8.330192)"
276,Zimmerman-Gonzales,6518 Christopher Path,"(28.5936415,116.361992)"
277,STORE_ERROR,0734 Samantha Roads Apt. 682,"(-21.105011,135.427570)"
278,Schmidt-Dean,,"(-19.072868,-64.397036)"
279,None,1523 Taylor Tunnel Suite 962,"(-70.694981,-10.599253)"
280,Schmidt Group,323 Gallagher Rest,"(81.391414,-170.767387)"
281,Fernandez PLC,4648 Haynes Canyon Suite 731,"(52.480205,-128.453658)"
282,None,885 Derek Branch,"(61.778194,-22.887476)"
283,"Brown, Oneill and Hughes",50637 Robert Lake,"(-72.7658945,140.917559)"
284,Gutierrez Group,8530 William Mission,"(-41.4614375,-119.101105)"
285,Beck-Wheeler,3435 Jennifer Heights,"(-34.1949385,-154.715798)"
286,Thompson Inc,0180 Phillips Dam Apt. 151,"(11.437665,-52.298457)"
287,Rosales Group,05387 Chen Keys,"(57.000255,62.455622)"
288,Brown and Sons,25843 Berry Rapids,None
289,"Mckenzie, Johnson and Ramirez",4114 Sandoval Estate,"(0.559787,32.084138)"
290,Mendez-Guerra,85315 Harris Loop,"(33.291471,-121.304789)"
291,None,7858 Snow Brook,None
292,STORE_ERROR,50890 Shane Mall,"(2.5786365,-69.438790)"
293,"Hill, Torres and Robinson",4105 Lisa Pike,"(-34.2497575,148.303370)"
294,Small Ltd,LOCATION_ERROR,"(41.6008835,35.374262)"
295,,84755 Fuentes Turnpike Apt. 746,"(-5.633854,67.402611)"
296,Diaz-Weaver,5182 Yang Branch,"(-2.217811,93.011892)"
297,Taylor Group,991 Brown Mountains Apt. 025,"(-31.8396435,-162.211578)"
298,Christensen Ltd,21517 Garrett Springs Suite 141,"(72.366814,163.137149)"
299,"Miller, Noble and Williams",None,"(72.911279,-10.088290)"
300,Reed LLC,479 Anderson Villages Apt. 939,"(-24.3402335,-127.455357)"
301,,4571 Amy Land,"(-29.1893655,15.854016)"
302,None,31590 Joel Knolls,"(47.455309,104.263310)"
303,"Adams, Brown and Heath",00978 Richardson Parkway,"(-84.093994,27.981050)"
304,Simon-Duran,2265 Butler Ford Apt. 545,"(-8.740918,-48.114618)"
305,"Jones, Richards and Meyers",60982 Diaz Vista Suite 653,"(-24.908480,129.470029)"
306,Reyes-Wilson,95468 Katie Fort Apt. 756,"(-23.272995,38.410147)"
307,Wade Group,3592 Bruce Brooks,"(-61.725235,89.682436)"
308,None,454 Mary Walk Apt. 735,
309,Cherry-Miller,93096 Cynthia Plain Suite 392,"(8.8790775,-132.721100)"
310,White-White,4598 Jeffrey Station,"(-65.466169,129.646774)"
311,Black PLC,969 Lee Crescent Suite 155,"(1.412974,76.701020)"
312,Mueller-Phelps,294 Dean Inlet,"(74.827389,-112.562253)"
313,Sanchez Ltd,LOCATION_ERROR,"(37.095323,-146.637307)"
314,"Fox, Mitchell and White",64371 Ortega Burg Apt. 368,"(29.8754305,149.389102)"
315,Marshall-Williams,07573 Matthew Rapids Apt. 436,"(23.7752415,-119.053200)"
316,,584 Joshua Corner Apt. 866,"(82.020938,131.667298)"
317,Rojas PLC,316 Phillip Path,"(61.014295,-4.359095)"
318,Frazier-Walker,6192 Cooper Trail Apt. 837,"(72.853032,-128.986960)"
319,Oconnor Ltd,324 Jesus Hollow Suite 910,"(-50.4995045,-137.927800)"
320,None,9477 Trevino Heights Apt. 106,"(-69.9215145,61.143510)"
321,Brown PLC,446 Jones Trail,"(-32.4082835,-79.372426)"
322,Rodriguez-Ross,64803 Ryan Meadow Suite 871,"(-53.909470,-98.161502)"
323,Browning Group,,"(28.7193735,-73.148236)"
324,White-Schneider,67737 Jill Harbor Suite 121,"(-8.018727,22.679150)"
325,Thomas Group,8569 Davidson Bridge,None
326,Willis Inc,22339 Corey Forks Suite 109,"(8.2162565,140.705521)"
327,Gomez-Morris,524 Carey Green,None
328,Carter-Williams,632 Trevino Common,DEMOGRAPHICS_ERROR
329,Carlson-Walker,2000 Rebecca Hills Apt. 341,"(-38.431875,-2.796101)"
330,STORE_ERROR,88988 Charles Harbors Suite 763,"(-74.1880575,174.230134)"
331,"Williams, Howard and Evans",LOCATION_ERROR,"(4.399667,71.390149)"
332,Parsons Group,05817 William Pike,"(-0.0787795,40.311233)"
333,Cannon Inc,41163 Andrew Land Apt. 981,"(-3.816082,94.221056)"
334,"Dean, Heath and Thomas",234 Alyssa Mission Apt. 479,"(-62.2136065,-16.877470)"
335,"Anderson, Hurley and Carter",41691 Jared Ridge Apt. 593,"(46.596014,85.811849)"
336,Mcdonald-Hendrix,79021 Bowers Plain,"(-8.3682185,143.283577)"
337,Ortiz-Scott,9497 Terry Center Suite 014,"(63.4451025,135.379751)"
338,"Williams, Jacobs and Webb",30752 Patricia Course,"(-78.265710,78.715716)"
339,Wilson and Sons,267 Hansen Fort,"(12.0422065,57.036280)"
340,Kim LLC,5485 Jennifer Trail Apt. 590,"(77.590494,-6.257651)"
341,"Christensen, Saunders and Johnson",6972 Johnson Shore Suite 301,"(-0.665255,68.621059)"
342,"Hayes, Brown and Garcia",42650 Chapman Mountain,"(-10.3711035,55.318382)"
343,Cruz-Reid,650 Atkinson Isle Apt. 974,"(52.7699185,89.791343)"
344,Garner-Kelly,,"(9.6691605,-155.279559)"
345,"Bailey, Perez and White",LOCATION_ERROR,"(30.5129065,-43.073185)"
346,Henderson and Sons,7202 Allen Divide,"(-0.767413,-21.143098)"
347,"Williams, Ferguson and Roberts",LOCATION_ERROR,"(20.6772325,-150.327243)"
348,"Moore, Buchanan and Baker",6826 Ward Throughway,"(-61.495022,-175.723927)"
349,"Roberts, Fernandez and Rice",9043 Tara Pines Suite 225,
350,Flores and Sons,808 Raymond Drive,"(59.5039445,-78.377682)"
351,Smith PLC,6926 Angel Island,None
352,"Wells, Weber and Miller",76927 Daniel Route,DEMOGRAPHICS_ERROR
353,"Riggs, Delgado and Jones",0689 Robert Park Suite 931,"(-50.775619,70.410372)"
354,"Hamilton, Brown and Peters",277 Dennis Mall,"(-39.4562355,98.263680)"
355,STORE_ERROR,70852 Scott Loop,"(43.9492115,-70.698611)"
356,"Silva, Raymond and Higgins",826 Barnes Bridge,"(1.540160,-152.278978)"
357,Price-Smith,541 Haley Roads,"(-27.659106,-101.602278)"
358,"Dillon, Quinn and Wiggins",91975 Phillips Causeway Suite 533,DEMOGRAPHICS_ERROR
359,"Jones, James and Clements",,"(53.0341885,-105.794265)"
360,"Robbins, Ortiz and Harris",78840 Taylor Drive,"(5.368605,86.346025)"
361,Gordon and Sons,915 Stephen Crest,"(87.8159045,-148.264069)"
362,Erickson LLC,62025 Leblanc Drive,None
